Best,Epoch,Trades,Avg profit,Median profit,Total profit,Stake currency,Profit,Avg duration,Objective,rsi-value,rsi-enabled,trigger,sell-rsi-value,sell-rsi-enabled,sell-trigger,roi_t1,roi_t2,roi_t3,roi_p1,roi_p2,roi_p3,stoploss
Best,62,95,-0.14%,0.0,-0.00134093,BTC,-13.40,480.6 m,2.59121,16,False,bb_lower_4,83,True,sell-bb_lower_1,92,56,12,0.015,0.013,0.079,-0.231
,63,114,-0.48%,0.0,-0.00550106,BTC,-54.96,388.6 m,8.29845,11,False,bb_lower_4,74,True,sell-bb_lower_1,32,55,19,0.032,0.011,0.083,-0.214
,64,115,-0.23%,0.0,-0.00259732,BTC,-25.95,396.8 m,4.51129,24,False,bb_lower_4,85,True,sell-bb_lower_1,64,53,18,0.029,0.011,0.014,-0.188
,65,105,-0.62%,0.0,-0.00646828,BTC,-64.62,451.4 m,8.74056,11,False,bb_lower_4,91,True,sell-bb_lower_1,96,53,10,0.04,0.017,0.056,-0.192
,66,106,-0.59%,0.0,-0.00625158,BTC,-62.45,456.1 m,7.62394,14,False,bb_lower_4,69,True,sell-bb_lower_1,96,59,21,0.032,0.015,0.138,-0.335
,67,141,-0.21%,0.0,-0.00300508,BTC,-30.02,220.5 m,6.21041,18,False,bb_lower_4,58,True,sell-bb_lower_1,31,56,16,0.013,0.016,0.183,-0.3
,68,87,-0.86%,0.0,-0.00746178,BTC,-74.54,633.8 m,8.40484,12,False,bb_lower_4,84,True,sell-bb_upper_1,102,53,11,0.039,0.015,0.117,-0.24
,69,102,-0.69%,0.0,-0.00703439,BTC,-70.27,460.7 m,9.11151,15,False,bb_lower_4,76,True,sell-bb_upper_1,88,60,18,0.037,0.014,0.174,-0.196
,70,202,-0.24%,0.0247245,-0.00493137,BTC,-49.26,130.5 m,13.52572,22,False,bb_lower_4,36,True,sell-bb_upper_1,67,56,18,0.024,0.012,0.055,-0.194
,71,107,-0.53%,0.0,-0.00565618,BTC,-56.51,439.1 m,7.31830,20,False,bb_lower_4,67,True,sell-bb_lower_1,98,58,11,0.036,0.01,0.12,-0.268
,72,92,-0.73%,0.0,-0.00670890,BTC,-67.02,578.8 m,7.78746,14,False,bb_lower_4,92,True,sell-bb_middle_1,76,53,19,0.039,0.025,0.07,-0.238
,73,109,-0.69%,0.0,-0.00753105,BTC,-75.24,363.2 m,10.89481,17,False,bb_lower_4,90,True,sell-bb_lower_1,99,60,13,0.011,0.04,0.072,-0.163
,74,164,-0.27%,0.086749,-0.00435324,BTC,-43.49,162.5 m,10.21533,16,False,bb_lower_4,53,True,sell-bb_lower_1,16,59,35,0.018,0.011,0.017,-0.173
,75,152,-0.49%,0.0,-0.00745021,BTC,-74.43,182.0 m,24.06409,11,False,bb_lower_4,87,True,sell-bb_lower_1,22,54,16,0.011,0.014,0.076,-0.045
,76,110,-0.63%,0.0,-0.00693864,BTC,-69.32,359.7 m,10.59914,19,False,bb_lower_4,96,True,sell-bb_lower_1,49,56,33,0.014,0.014,0.15,-0.154
,77,123,-0.64%,0.0,-0.00791959,BTC,-79.12,293.7 m,14.77934,16,False,bb_lower_4,94,True,sell-bb_lower_1,34,44,30,0.012,0.029,0.047,-0.11
,78,115,-0.38%,0.0,-0.00436232,BTC,-43.58,330.1 m,7.87609,13,False,bb_lower_4,100,True,sell-bb_lower_1,38,49,37,0.012,0.01,0.058,-0.157
,79,111,-0.91%,0.0,-0.01008309,BTC,-100.73,338.0 m,15.87003,13,False,bb_lower_4,66,True,sell-bb_lower_1,71,59,40,0.018,0.019,0.177,-0.123
,80,165,-0.35%,0.0,-0.00570668,BTC,-57.01,149.0 m,20.91372,11,False,bb_lower_4,54,True,sell-bb_lower_1,24,45,33,0.018,0.013,0.091,-0.049
,81,139,-0.24%,0.0,-0.00327955,BTC,-32.76,230.5 m,7.31403,11,False,bb_lower_4,59,True,sell-bb_lower_1,29,49,17,0.01,0.026,0.012,-0.171
,82,227,-0.30%,0.0,-0.00673066,BTC,-67.24,85.3 m,32.70530,17,False,bb_lower_4,48,True,sell-bb_lower_1,54,44,23,0.013,0.021,0.195,-0.026
,83,181,-0.36%,0.0,-0.00648418,BTC,-64.78,125.1 m,25.15592,13,False,bb_lower_4,73,True,sell-bb_lower_1,36,37,36,0.011,0.048,0.01,-0.026
,84,212,-0.45%,0.056784999999999995,-0.00958262,BTC,-95.73,95.9 m,22.59069,12,False,bb_lower_4,41,True,sell-bb_lower_1,54,54,36,0.01,0.017,0.078,-0.146
,85,467,-0.21%,0.0,-0.00974933,BTC,-97.40,378.8 m,16.83255,17,False,bb_lower_1,73,True,sell-bb_lower_1,60,36,21,0.013,0.047,0.073,-0.24
,86,671,-0.05%,0.0,-0.00315360,BTC,-31.50,204.5 m,12.52944,12,False,bb_lower_1,57,True,sell-bb_lower_1,29,33,13,0.032,0.053,0.04,-0.256
,87,525,-0.02%,0.0,-0.00121813,BTC,-12.17,293.7 m,6.03849,32,False,bb_lower_1,59,True,sell-bb_lower_1,63,56,16,0.026,0.057,0.148,-0.256
,88,458,-0.14%,0.0,-0.00649504,BTC,-64.89,402.8 m,12.34631,29,False,bb_lower_1,81,True,sell-bb_lower_1,27,41,16,0.039,0.044,0.033,-0.25
Best,89,329,0.07%,0.0,0.00238762,BTC,23.85,625.6 m,-1.00979,16,False,bb_lower_1,96,True,sell-bb_lower_1,103,44,10,0.014,0.012,0.06,-0.348
,90,407,-0.16%,0.0,-0.00641774,BTC,-64.11,476.7 m,11.44591,26,False,bb_lower_1,81,True,sell-bb_lower_1,30,56,14,0.028,0.02,0.106,-0.286
